大佬软件,#genre#
Now星影台,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanow01.flv
Now爆谷台,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanow02.flv
TVB功夫台(国),https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidatvb01.flv
TVB生活台,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidatvb02.flv
中天新闻,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmagztxw.flv
TVBS HD,https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmagtvbs.flv
环球大战线,http://publish.ws.huajiao.com/live/CmlYGczrTFqK7nEAJybacKGcrnLdslNp5YcphockmQnscq2S1p.flv
龙祥电影(粤),https://pull.sh.livecheck.alivecdn.com/live/hktv-jfhslkdjngnlkdkgjdlkkgjrkltjggrtlmaguidanlzzl.flv
东森电影(粤),https://publish.ws.huajiao.com/live/11-AfvKFjUHEGCu3y7VUHyBbmWMf5y0KdbYRc7OU7JBQEjicdrt4GYZIkcZ8C5ch3QB6iaD.flv
龙祥时代(粤),https://publish.ws.huajiao.com/live/14-h6ROwJli7A49CSXeixuhBKSadW2p0xvCH9PXKrFLmeqgdImgOmKjLjx7N2kCQR5ftLrq.flv
J2,https://smt.858.qzz.io/Smart.php?id=j2_twn
翡翠,https://smt.858.qzz.io/Smart.php?id=jade_twn
无线新闻,https://smt.858.qzz.io/Smart.php?id=inews_twn
TVB翡翠台,http://hls.168.us.kg/u/81/master.m3u8
明珠,http://hls.168.us.kg/u/84/master.m3u8
J2台,http://hls.168.us.kg/u/82/master.m3u8
无线新聞,http://hls.168.us.kg/u/83/master.m3u8
Hoy76,http://hls.168.us.kg/u/76/master.m3u8
Hoy77,http://hls.168.us.kg/u/77/master.m3u8
Hoy78,http://hls.168.us.kg/u/78/master.m3u8
VIU6TV,http://hls.168.us.kg/u/96/master.m3u8
VIUTV,http://hls.168.us.kg/u/99/master.m3u8
RTHK31,http://hls.168.us.kg/u/31/master.m3u8
Now新闻台,http://hls.168.us.kg/u/332/master.m3u8
Now财经台,http://hls.168.us.kg/u/333/master.m3u8
Now直播台,http://hls.168.us.kg/u/331/master.m3u8
唐人卫视,https://ntd02.akamaized.net/HD-NY/tracks-v3a1/mono.m3u8



HKTV,#genre#

POPC,http://tl.061833.xyz/tl/popc
POPC,http://bxtv.3a.ink/api.php?id=popc
POPC,http://tl.061833.xyz/tl/popc
Plus综合,http://tl.061833.xyz/tl/pluse
无线新闻,http://tl.061833.xyz/tl/null-11
无线翡翠,http://tl.061833.xyz/tl/null
无线明珠,http://tl.061833.xyz/tl/null-12
无线娱乐,http://tl.061833.xyz/tl/null-14
无线经典,http://tl.061833.xyz/tl/null-3
无线综合,http://tl.061833.xyz/tl/mytvsuperfree
无线戏曲,http://tl.061833.xyz/tl/null-15
无线粤语片,http://tl.061833.xyz/tl/null-10
无线亚剧,http://tl.061833.xyz/tl/null-13 
无线华剧,http://tl.061833.xyz/tl/null-4 
无线少儿,http://tl.061833.xyz/tl/superkidschannel
无线赛马,http://tl.061833.xyz/tl/mytvsuper18 
黄金翡翠,http://tl.061833.xyz/tl/null-2 
黄金华剧,http://tl.061833.xyz/tl/null-9
天映经典,http://tl.061833.xyz/tl/null-1
国家地理,http://tl.061833.xyz/tl/lovenaturehd  
美亚电影,http://tl.061833.xyz/tl/null-5
中国电影,http://tl.061833.xyz/tl/null-6
AXN电影,http://tl.061833.xyz/tl/axn
KIX_韩综,http://tl.061833.xyz/tl/kix
ANIMAX,http://tl.061833.xyz/tl/animax
rock娱乐,http://tl.061833.xyz/tl/rockaction
rock综艺,http://tl.061833.xyz/tl/rock
Nick儿童,http://tl.061833.xyz/tl/nickjr
Nick,http://tl.061833.xyz/tl/nickelodeon









千禧经典台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
千禧经典台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassi

HUB如意台,http://pulltest-bj.alivecdn.com/live/hktv-10ali05.flv
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshiupin.com/smt.php?id=Celestial2
天映频道,https://cdn9.163189.xyz/smt1.1.php?id=Celestial
天映频道,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
天映经典,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
爱奇艺,https://cdn9.163189.xyz/smt1.1.php?id=Qiyi
爱奇艺,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
私人影院,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts

天映经典,http://play-ali.cloudvdn.com/live/00987tp0035.flv
爆谷,http://play-ali.cloudvdn.com/live/00987tp0038.flv
星影,http://play-ali.cloudvdn.com/live/00987tp0039.flv

爆谷,http://stream-ali1.csslcloud.net:80/live/hktv-09ali20.flv
星影,http://stream-ali1.csslcloud.net:80/live/hktv-09ali21.flv
POPC,http://stream-ali1.csslcloud.net:80/live/hktv-09ali22.flv
POPC,http://bxtv.3a.ink/api.php?id=popc


美亚电影,http://stream-ali1.csslcloud.net/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oewh.flv
1905电影网A,http://php.jdshipin.com:8880/1905.php?id=1905dy
爆谷,http://play-ali.cloudvdn.com/live/5566321.flv
星影,http://play-ali.cloudvdn.com/live/5566334.flv

星影,http://hkenlive.uk/livehttpplay?channel_id=13003
爆谷,http://hkenlive.uk/livehttpplay?channel_id=13002


东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
美亚电影(香港),http://tl.061833.xyz/tl/null-5
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv

美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
AstroAod,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv

龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn
好莱坞电影,https://tv543.cc/Smart.php?id=hollywoodmovies_twn
Star Movies,https://tv543.cc/Smart.php?id=starmovies_raj
Hits,https://tv543.cc/Smart.php?id=Hits
Warner TV,https://tv543.cc/Smart.php?id=WarnerTV
SCM,https://tv543.cc/Smart.php?id=Weishimovie
Dream works,https://tv543.cc/Smart.php?id=Dreamworks
Hits Movie,https://tv543.cc/Smart.php?id=Hitsmovie
One,https://tv543.cc/Smart.php?id=One
tvN Movie,https://tv543.cc/Smart.php?id=Tvnmovie
Axn HD,https://tv543.cc/Smart.php?id=Axn
Astrol Kplus,https://tv543.cc/Smart.php?id=Kplus
 
CHC家庭影院,http://117.174.25.254:8188/rtp/239.0.0.23:5140
CHC动作电影,http://117.174.25.254:8188/rtp/239.0.0.24:5140
CHC影迷电影,http://117.174.25.254:8188/rtp/239.0.0.25:5140
CHC家庭影院,http://219.159.194.149:8181/tsfile/live/1018_1.m3u8
CHC动作电影,http://219.159.194.149:8181/tsfile/live/1019_1.m3u8
CHC影迷电影,http://219.159.194.149:8181/tsfile/live/1020_1.m3u8
1905电影网A,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
天映经典,http://117.141.162.238:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动

凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8

天映经典2,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://tl.061833.xyz/tl/popc
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
POPC,https://live.tvfix.org/live/popc/2/v4000000/index.m3u8
POPC,http://stream-ali1.csslcloud.net/live/e023faacde5c8d999d072e8e96778622.flv

天映经典2,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
美亚电影(香港),http://tl.061833.xyz/tl/null-5
美亚电影(香港),http://j.s.bkpcp.top/js/twmydy
天映经典2,https://tv543.cc/Smart.php?id=Celestial2
天映频道2,https://tv543.cc/Smart.php?id=Celestialindo
美亚电影(香港),http://bxtv.3a.ink/api.php?id=meiya
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8

天映频道,http://j.s.bkpcp.top/jj/celestialmovieshd
天映频道,http://j.s.bkpcp.top/jj/typd
天映经典2,http://j.s.bkpcp.top/jj/tyjd

东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv 
星影,http://stream-ali1.csslcloud.net/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW0Glm43RZt.flv 
爆谷,http://stream-ali1.csslcloud.net/live/vhNli7a2uwqrSArlhBpDjs0wGlm43VLkMnb9OJ2Hzj14qlP0TO.flv 
天映经典,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
POPC,http://bxtv.3a.ink/api.php?id=popc 
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv

龙华经典,http://stream-ali1.csslcloud.net/live/FVXXIfMzo9JY3Yf51RmhP9Qdk6UoXnTswNRgQ7T0FJQDvC3XfN.flv
龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn  

龙华洋片,http://stream-ali1.csslcloud.net/live/N1S4SjOnTnxegYsftAWGMMiu4K3MXkvMMm2bfd2yUYnVkPSxYt.flv
纬来电影,http://play.aipingke.net/live/76bd2526501177da3a3fd55e21d7b70a.flv
纬来电影,https://tv543.cc/Smart.php?id=videolandmovie
东森电影,https://tv543.cc/Smart.php?id=ettvmovie
东森洋片,https://tv543.cc/Smart.php?id=ettvwestern
美亚电影https://tv543.cc/Smart.php?id=meiyamovie_twn
AstroAod,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv#https://tv543.cc/Smart.php?id=Aod

千禧经典台,https://cdn9.163189.xyz/smt1.1.php?id=Tvbclassic
千禧经典台,https://cdn9.163189.xyz/smt3.1.1.php?id=Tvbclassic
千禧经典台,http://php.jdshipin.com:8880/smt.php?id=Tvbclassic
天映频道,http://php.jdshipin.com/smt.php?id=Celestial
天映经典,http://php.jdshipin.com/smt.php?id=Celestial2
天映频道,https://cdn9.163189.xyz/smt1.1.php?id=Celestial
天映频道,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial
天映频道,http://php.jdshipin.com:8880/smt.php?id=Celestial
天映经典,https://cdn9.163189.xyz/smt1.1.php?id=Celestial2
天映经典,https://cdn9.163189.xyz/smt3.1.1.php?id=Celestial2
天映经典,http://php.jdshipin.com:8880/smt.php?id=Celestial2
爱奇艺,https://cdn9.163189.xyz/smt1.1.php?id=Qiyi
爱奇艺,https://cdn9.163189.xyz/smt3.1.1.php?id=Qiyi
爱奇艺,http://php.jdshipin.com:8880/smt.php?id=Qiyi
私人影院,P2p://starvod.xyz:19806/74567d46c9a54cb8aab7bb35b7446cf2.ts

天映经典,http://play-ali.cloudvdn.com/live/00987tp0035.flv
爆谷,http://play-ali.cloudvdn.com/live/00987tp0038.flv
星影,http://play-ali.cloudvdn.com/live/00987tp0039.flv

爆谷,http://stream-ali1.csslcloud.net:80/live/hktv-09ali20.flv
星影,http://stream-ali1.csslcloud.net:80/live/hktv-09ali21.flv
POPC,http://stream-ali1.csslcloud.net:80/live/hktv-09ali22.flv
POPC,http://bxtv.3a.ink/api.php?id=popc


美亚电影,http://stream-ali1.csslcloud.net/live/ogVoQHdbfd2ydsH4o82zYFquhPEy4XWeWisjW2fHs4Oewh.flv
1905电影网A,http://php.jdshipin.com:8880/1905.php?id=1905dy
爆谷,http://play-ali.cloudvdn.com/live/5566321.flv
星影,http://play-ali.cloudvdn.com/live/5566334.flv

星影,http://hkenlive.uk/livehttpplay?channel_id=13003
爆谷,http://hkenlive.uk/livehttpplay?channel_id=13002


东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
美亚电影(香港),http://tl.061833.xyz/tl/null-5
美亚电影(香港),http://stream-ali1.csslcloud.net/live/AyIsPzx3VHE0Zdn9qxVJ9vIskOMwiyhcmDJKYU2VVhXYHm5WRd.flv

美亚电影,http://php.jdshipin.com:8880/smt.php?id=meiyamovie_twn
美亚电影,http://stream-ali1.csslcloud.net/live/IcmEedVfQlHHUXtdsqvDLaKLpE639j7xCDHMM7ls6UoXnJ9OQm.flv
AstroAod,http://stream-ali1.csslcloud.net/live/GfPVn0eDChn6UoXnmsvZeKXYTNMgH8clNLUesg4VlSCLjkEICb.flv
星空卫视,http://stream-ali1.csslcloud.net/live/live/k64rsdGlshSyfwv329281DpNQWdegX0tm6NMsj6OWsUFWUahqU.flv

龙祥时代,https://tv543.cc/Smart.php?id=lungxiangtime_twn
好莱坞电影,https://tv543.cc/Smart.php?id=hollywoodmovies_twn
Star Movies,https://tv543.cc/Smart.php?id=starmovies_raj
Hits,https://tv543.cc/Smart.php?id=Hits
Warner TV,https://tv543.cc/Smart.php?id=WarnerTV
SCM,https://tv543.cc/Smart.php?id=Weishimovie
Dream works,https://tv543.cc/Smart.php?id=Dreamworks
Hits Movie,https://tv543.cc/Smart.php?id=Hitsmovie
One,https://tv543.cc/Smart.php?id=One
tvN Movie,https://tv543.cc/Smart.php?id=Tvnmovie
Axn HD,https://tv543.cc/Smart.php?id=Axn
Astrol Kplus,https://tv543.cc/Smart.php?id=Kplus
 
CHC家庭影院,http://117.174.25.254:8188/rtp/239.0.0.23:5140
CHC动作电影,http://117.174.25.254:8188/rtp/239.0.0.24:5140
CHC影迷电影,http://117.174.25.254:8188/rtp/239.0.0.25:5140
CHC家庭影院,http://219.159.194.149:8181/tsfile/live/1018_1.m3u8
CHC动作电影,http://219.159.194.149:8181/tsfile/live/1019_1.m3u8
CHC影迷电影,http://219.159.194.149:8181/tsfile/live/1020_1.m3u8
1905电影网A,http://8.138.7.223/tv/1905.php?id=LIVE8J4LTCXPI7QJ5
1905电影网A,http://xxwx.yoesun.com/xxw/1905电影网.php?id=1905
搜狐剧场,https://hdl-vip-ws.qf.56.com/live/lc_11730.flv
澳门莲花,http://live-hls.macaulotustv.com/lotustv/macaulotustv.m3u8$官网
天映经典,http://117.141.162.238:8181/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0$广西/玉林/移动

凤凰电影,http://iot-mqqt.111yao.cn:8080/live/diyp_fhdy.m3u8

天映经典2,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道2,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://tl.061833.xyz/tl/popc
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
POPC,https://live.tvfix.org/live/popc/2/v4000000/index.m3u8
POPC,http://stream-ali1.csslcloud.net/live/e023faacde5c8d999d072e8e96778622.flv

天映经典2,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial2
天映频道,https://smt.1678520.xyz/smt3.2.1.php?id=Celestial
美亚电影(香港),http://tl.061833.xyz/tl/null-5
美亚电影(香港),http://j.s.bkpcp.top/js/twmydy
天映经典2,https://tv543.cc/Smart.php?id=Celestial2
天映频道2,https://tv543.cc/Smart.php?id=Celestialindo
美亚电影(香港),http://bxtv.3a.ink/api.php?id=meiya
重温经典,https://gdcucc.v1.mk/gdcucc/cwjd.m3u8

天映频道,http://j.s.bkpcp.top/jj/celestialmovieshd
天映频道,http://j.s.bkpcp.top/jj/typd
天映经典2,http://j.s.bkpcp.top/jj/tyjd

东森电影,http://stream-ali1.csslcloud.net/live/bCfUAGCL9ukBOGb6dOi9T4srbi9yKesDJWcvlAgBMV6uv722A6.flv
东森洋片,http://stream-ali1.csslcloud.net/live/kik9tNV4srbiMDD687bFX3vtLMD4Lwg69y94g8XKH40P1BOa5U.flv 
星影,http://stream-ali1.csslcloud.net/live/eZ15T2tea8ztrRlszHaTVfz0EB9nqz8GhiBZHNyMW0Glm43RZt.flv 
爆谷,http://stream-ali1.csslcloud.net/live/vhNli7a2uwqrSArlhBpDjs0wGlm43VLkMnb9OJ2Hzj14qlP0TO.flv 
天映经典,http://stream-ali1.csslcloud.net/live/R6lHXlf5ku9qxVJQcmTulgsTEgPPA1nSDMKzDM7ZY7vJpVAz1.flv
天映经典2,http://stream-ali1.csslcloud.net/live/m9HgJVv5tpj9y6X4G19qxVJc0cReeehuBpFdXTV9XG4BHoCfje.flv 
天映频道,http://stream-ali1.csslcloud.net/live/XnAdPMgnYti2B9qxVJVqSXjdBemJSo8pZTaVRnBNWQx6BSvNiq.flv 
天映频道,http://stream-ali1.csslcloud.net/live/F1ivcJGhnLpvXiIFMzxSRcAFyR9qxVJfOK9k9OLV3eXJVEyv8B.flv
POPC,http://stream-ali1.csslcloud.net/live/ac4c7297da097fd79d944152e86f0262.flv
